GATE,Method,Point estimate,Low (95% CI),High (95% CI),p value,std_error
"LKWFWM_bin_(12.2, 15.0]_high",FR_DR_CS,-0.00939579430688107,-1.9161114969356259,1.897319908321864,0.9922940008263803,0.9728141339942576
"LKWFWM_bin_(12.2, 15.0]_high",FR_DR_NCS,-0.07501008137013157,-0.7227883689571768,0.5727682062169137,0.8204580896354168,0.33049912631992107
"LKWFWM_bin_(12.2, 15.0]_high",FR_DR_NCNS,-0.0767183385962253,-0.7246215516470015,0.5711848744545508,0.8164761147739943,0.3305628638014164
"LKWFWM_bin_(12.2, 15.0]_high",FR_DR_CNS,-0.00867020673610211,-1.9089260443078835,1.891585630835679,0.9928649052970402,0.9695182844753987
"LKWFWM_bin_(12.2, 15.0]_low",FR_DR_CS,-0.7958800281167872,-3.8903472547787863,2.298587198545212,0.6141967243447888,1.5788098095214282
"LKWFWM_bin_(12.2, 15.0]_low",FR_DR_NCS,-1.0231182534111645,-2.611044189456812,0.5648076826344832,0.20665154423364562,0.8101662939008407
"LKWFWM_bin_(12.2, 15.0]_low",FR_DR_NCNS,-1.023352827839597,-2.6124673635286118,0.5657617078494179,0.2068871701282562,0.8107727222903137
"LKWFWM_bin_(12.2, 15.0]_low",FR_DR_CNS,-0.7987262659047089,-3.8908666265312877,2.29341409472187,0.6126633034160482,1.5776226329727443
FTPTWK_high,FR_DR_CS,-0.7887749470505044,-3.381901777742986,1.8043518836419774,0.5510549504520568,1.3230238932104499
FTPTWK_high,FR_DR_NCS,-0.9850805409372736,-1.7679786042481562,-0.20218247762639108,0.013658468569454074,0.39943778740351155
FTPTWK_high,FR_DR_NCNS,-0.9857854111445385,-1.7688514900785866,-0.20271933221049054,0.013611441569243654,0.3995235096602286
FTPTWK_high,FR_DR_CNS,-0.7935157856980668,-3.37205946051,1.7850278891138665,0.5464053611203212,1.3155835075571087
FTPTWK_low,FR_DR_CS,0.5276477496255176,-1.6535959736445114,2.7088914728955467,0.6354145622996514,1.112879450647974
FTPTWK_low,FR_DR_NCS,0.5284900473139102,-0.41353879755979994,1.4705188921876204,0.27152192439908607,0.4806269616702603
FTPTWK_low,FR_DR_NCNS,0.5262986503114543,-0.4161662454322257,1.4687635460551343,0.2737364118521768,0.4808494366039184
FTPTWK_low,FR_DR_CNS,0.5328477853293794,-1.6476045433069173,2.7133001139656763,0.6319628367399881,1.1124756778756615
"LKWFWM_bin_(6.6, 9.4]_high",FR_DR_CS,-1.1950527811732041,-6.4704721225220645,4.080366560175657,0.6570461166023456,2.691540480280031
"LKWFWM_bin_(6.6, 9.4]_high",FR_DR_NCS,-1.422441920019995,-3.6578398141729433,0.8129559741329535,0.2123329169122128,1.1405091296698717
"LKWFWM_bin_(6.6, 9.4]_high",FR_DR_NCNS,-1.4181443330476977,-3.655453023797957,0.8191643577025616,0.21410887820864177,1.1414840258929895
"LKWFWM_bin_(6.6, 9.4]_high",FR_DR_CNS,-1.1963421265780358,-6.470590363650128,4.077906110494057,0.6566284837652918,2.6909429780980063
"LKWFWM_bin_(6.6, 9.4]_low",FR_DR_CS,-0.03504806343845188,-1.5477048183378224,1.4776086914609188,0.9637788248098982,0.7717636504588625
"LKWFWM_bin_(6.6, 9.4]_low",FR_DR_NCS,-0.11725232813627075,-0.7406404633643456,0.5061358070918042,0.7123906497124448,0.3180551710347321
"LKWFWM_bin_(6.6, 9.4]_low",FR_DR_NCNS,-0.11939998582540677,-0.7429396203611535,0.5041396487103399,0.7074311084903848,0.31813246659987077
"LKWFWM_bin_(6.6, 9.4]_low",FR_DR_CNS,-0.03494347352768492,-1.5438823121046246,1.4739953650492545,0.9637979223481856,0.7698667543759896
