overlap_intensity,extreme_scores,ess,aipw_shared_estimate,aipw_shared_stderr,aipw_shared_ate_in_ci,dm_shared_estimate,dm_shared_stderr,dm_shared_ate_in_ci
0.04872488080912729,4.16,76.44,11.031781438605641,0.7583300135171759,1.0,10.305798049860744,0.0070483337279915745,0.0
0.7075212313966697,78.27,21.39,12.066422395065564,1.461839229890665,1.0,12.247261049557876,0.005939138914391534,0.0
0.2631218834982463,45.59,5.34,9.204556903711403,1.0923151860834985,1.0,9.686326029603357,0.006460733057446746,0.0
0.06949325473350232,6.34,59.66,10.325080545615299,1.637044054416815,1.0,9.382948362057837,0.00961828941085267,0.0
0.7077703003766086,78.27,8.38,12.26523061385987,1.1257830149449817,0.0,11.085634397506038,0.0009648136152163451,0.0
0.5765575380235052,67.08,0.4,8.034055211838949,1.9829028749078725,1.0,7.914208383059323,0.012978903636304193,0.0
0.23468178279036067,48.86,14.6,10.684038952914802,1.3912487677521828,1.0,11.511153562177313,0.006919936157340618,0.0
0.039301529912674216,2.08,80.0,10.085395930358173,0.9084353075013415,1.0,9.442323796931143,0.0044500981489480375,0.0
0.06095542145271582,3.91,69.31,11.135592637671094,1.2801487816659,1.0,9.716997781434081,0.002075339291205153,0.0
0.8295133058545336,78.17,21.88,7.800430330389344,1.8815771930799499,1.0,7.893109645385693,0.011936384822953602,0.0
0.8478864538109426,77.28,23.31,11.643493782213516,1.3651692625630956,1.0,10.656623163530352,0.013383700852984758,0.0
0.5832042450832112,72.43,16.37,6.592550383921474,2.0648339958994377,1.0,8.069490806271258,0.0030645004450666497,0.0
0.8582946095266915,80.4,70.46,8.12328308381422,1.0974082738691089,1.0,9.72477366267841,0.006314716636968892,0.0
0.0699511709588303,6.68,59.44,9.842095122518533,0.7699006500040918,1.0,9.409444364687495,0.0051070718190594,0.0
0.5737782182858834,69.6,29.59,9.734733573953946,2.264955083126168,1.0,7.614614534440433,0.009194941460744118,0.0
0.7968553586071384,78.17,24.58,10.041569211935183,1.7504712630603478,1.0,9.484760591311112,0.0014598910094048045,0.0
0.31666059202347485,60.69,6.58,12.195448764569834,1.1334704532221667,1.0,10.870365558137749,0.007665805473495527,0.0
0.5603667567015509,71.53,29.02,8.127630969019988,1.5241833639515623,1.0,9.833805977662639,0.0023057374611322513,0.0
